               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.023905,            0.010896,          0.00062838,             0.96376,             0.98347,             0.98058,             0.59241,            0.025319,           0.0064932,          0.00015862,            0.002318,            0.002318,            0.002318
                  77,            0.024835,            0.010525,          0.00036579,             0.97234,             0.98347,             0.97973,             0.59018,            0.024941,           0.0064887,          0.00015967,           0.0022196,           0.0022196,           0.0022196
                  78,            0.024647,            0.011196,          0.00045884,             0.96793,             0.98347,             0.98211,             0.57697,            0.025378,           0.0065974,          0.00018069,           0.0021245,           0.0021245,           0.0021245
                  79,            0.024624,            0.010784,          0.00087263,              0.9517,              0.9771,             0.98137,             0.58731,            0.024904,            0.006533,          0.00022247,           0.0020327,           0.0020327,           0.0020327
                  80,            0.023603,           0.0096634,          0.00051864,             0.96309,             0.95012,             0.97488,             0.58705,            0.025296,           0.0064713,          0.00019912,           0.0019443,           0.0019443,           0.0019443
                  81,            0.022427,            0.010265,          0.00035609,              0.9616,             0.96679,             0.97934,             0.58413,            0.024361,           0.0065651,          0.00015232,           0.0018594,           0.0018594,           0.0018594
                  82,            0.023162,            0.010177,          0.00035025,             0.95524,              0.9668,             0.97926,             0.56122,            0.025563,           0.0066672,          0.00013069,           0.0017781,           0.0017781,           0.0017781
                  83,            0.022879,           0.0099107,          0.00074732,             0.97282,             0.97514,              0.9896,               0.598,            0.024118,           0.0065195,          0.00015713,           0.0017005,           0.0017005,           0.0017005
                  84,            0.023215,           0.0098389,          0.00047926,             0.96435,             0.97514,             0.98078,             0.59211,              0.0244,           0.0065827,          0.00020595,           0.0016267,           0.0016267,           0.0016267
                  85,            0.022461,              0.0102,          0.00027375,             0.96517,             0.97513,             0.97919,             0.59447,            0.024445,           0.0066144,          0.00016482,           0.0015566,           0.0015566,           0.0015566
                  86,            0.023389,           0.0098373,          0.00026211,             0.96305,             0.98345,              0.9796,             0.59404,            0.024314,           0.0065468,          0.00013856,           0.0014905,           0.0014905,           0.0014905
                  87,            0.022959,            0.010689,          0.00033707,             0.96449,             0.98342,             0.97966,             0.57566,            0.024756,           0.0065844,          0.00012502,           0.0014283,           0.0014283,           0.0014283
                  88,            0.022467,            0.010396,          0.00052067,             0.96403,             0.98345,             0.97995,             0.58914,            0.024611,           0.0065837,          0.00013904,           0.0013701,           0.0013701,           0.0013701
                  89,             0.02272,           0.0092598,          0.00028744,             0.96697,             0.98347,             0.98023,             0.57455,            0.024998,           0.0066514,          0.00015207,            0.001316,            0.001316,            0.001316
